date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jul%202023%2003:04:32%20GMT	http://nailzbydev.com/cdn/shop/t/2/assets/vendor.js?v=85833464202832145531630458847	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/t/2/assets/vendor26a3.js	(from https://nailzbydev.com/)
21:04:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jul%202023%2003:04:33%20GMT	http://nailzbydev.com/cdn/shop/t/2/assets/theme.js?v=119588253000287256331630458846	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/t/2/assets/themee6a0.js	(from https://nailzbydev.com/)
21:04:33	146382/146382	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2006%20Jul%202023%2018:12:58%20GMT	https://nailzbydev.com/cdn/shop/t/2/assets/vendor.js?v=85833464202832145531630458847	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/t/2/assets/vendor26a3.js	(from https://nailzbydev.com/)
21:04:34	141460/141460	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2006%20Jul%202023%2018:12:58%20GMT	https://nailzbydev.com/cdn/shop/t/2/assets/theme.js?v=119588253000287256331630458846	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/t/2/assets/themee6a0.js	(from https://nailzbydev.com/)
21:04:34	207114/207114	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:56eb3424ab26071763601dd8f7968239%22	https://nailzbydev.com/en-ca	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/en-ca.html	(from https://nailzbydev.com/)
21:04:35	207013/207013	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:c38adb70b58af172eaa898c941f2d21b%22	https://nailzbydev.com/en-gb	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/en-gb.html	(from https://nailzbydev.com/)
21:04:36	206975/206975	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:b7a8a12433e41415cb54c2cecd0bcf4c%22	https://nailzbydev.com/en-au	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/en-au.html	(from https://nailzbydev.com/)
21:04:36	744/744	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2009%20Jun%202023%2017:45:27%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-packages~Information~NoAddressLocation~Payment~PostPurchase~Review~Shipping~ShopPay~Sho~cf13f96e.latest.en.04837ae4ff5a8e949953.js	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-packages_Information_NoAddressLocation_Payment_PostPurchase_Review_Shipping_ShopPay_Sho_cf13f96e.latest.en.04837ae4ff	(from https://nailzbydev.com/)
21:04:36	48156/48156	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2011%20May%202023%2022:23:04%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/Information~Payment~ShopPay.latest.en.84ff9c0024faf7f72c14.js	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/cdn.shopify.com/shopifycloud/checkout-web/assets/Information_Payment_ShopPay.latest.en.84ff9c0024faf7f72c14.js	(from https://nailzbydev.com/)
21:04:36	128900/128900	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20Mar%202023%2017:34:06%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/Information.latest.en.900911b3d82c82309ebf.js	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/cdn.shopify.com/shopifycloud/checkout-web/assets/Information.latest.en.900911b3d82c82309ebf.js	(from https://nailzbydev.com/)
21:04:36	298386/298386	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2009%20Jun%202023%2020:16:36%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-ui~app.latest.en.86cd9328cdcd6cd3a58f.js	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-ui_app.latest.en.86cd9328cdcd6cd3a58f.js	(from https://nailzbydev.com/)
21:04:37	175498/175498	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20Mar%202023%2017:56:58%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/vendors~app.latest.en.b4546f9bffad10b3673b.js	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/cdn.shopify.com/shopifycloud/checkout-web/assets/vendors_app.latest.en.b4546f9bffad10b3673b.js	(from https://nailzbydev.com/)
21:04:37	71623/71623	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2008%20May%202023%2021:50:10%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-packages~app.latest.en.f5154093d2604596d084.js	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-packages_app.latest.en.f5154093d2604596d084.js	(from https://nailzbydev.com/)
21:04:37	150732/150732	---MCZ	200	added ('OK')	text/css	date:Mon,%2012%20Jun%202023%2020:15:35%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/vendors~app.latest.en.e788719f193b49c039a3.css	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/cdn.shopify.com/shopifycloud/checkout-web/assets/vendors_app.latest.en.e788719f193b49c039a3.css	(from https://nailzbydev.com/)
21:04:37	6666/6666	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Mar%202023%2006:15:32%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/app.latest.en.6b4c79ead7042980b29d.css	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/cdn.shopify.com/shopifycloud/checkout-web/assets/app.latest.en.6b4c79ead7042980b29d.css	(from https://nailzbydev.com/)
21:04:38	1297/1297	---MCZ	200	added ('OK')	text/css	date:Mon,%2013%20Mar%202023%2017:15:36%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/Information~Payment~ShopPay.latest.en.da9f06164a980bf8e7ea.css	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/cdn.shopify.com/shopifycloud/checkout-web/assets/Information_Payment_ShopPay.latest.en.da9f06164a980bf8e7ea.css	(from https://nailzbydev.com/)
21:04:38	125454/125454	---MCZ	404	error ('Not%20Found')	text/html	etag:%22cacheable:58413fe141c6d43cfa997625c4613a43%22	https://nailzbydev.com/GET	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/GET	(from https://nailzbydev.com/)
21:04:39	1922/1922	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2013%20Jul%202023%2001:14:42%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	(from https://nailzbydev.com/)
21:04:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jul%202023%2003:04:39%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-3f13ad638dda6342084642726e80965205d5b82d761805d0f0b2850313bc1fdf.js	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-3f13ad638dda6342084642726e80965205d5b82d761805d0f0b2850313bc1fdf.1a.delayed	(from https://nailzbydev.com/)
21:04:39	11350/11350	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2005%20Jun%202023%2021:17:12%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-3f13ad638dda6342084642726e80965205d5b82d761805d0f0b2850313bc1fdf.js	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-3f13ad638dda6342084642726e80965205d5b82d761805d0f0b2850313bc1fdf.js	(from https://nailzbydev.com/)
21:04:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jul%202023%2003:04:39%20GMT	http://nailzbydev.com/cdn/shopifycloud/shopify/assets/shopify_pay/storefront-c31d2fa4962d2ef90b673e945ee33f4f87302b97d0882cd8e83a629b84b30dab.js?v=20220906	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shopifycloud/shopify/assets/shopify_pay/storefront-c31d2fa4962d2ef90b673e945ee33f4f87302b97d0882cd8e83a629b84b30dab.1cb805.delayed	(from https://nailzbydev.com/)
21:04:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jul%202023%2003:04:40%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.1e.delayed	(from https://nailzbydev.com/)
21:04:40	50276/50276	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2030%20May%202023%2021:31:19%20GMT	https://nailzbydev.com/cdn/shopifycloud/shopify/assets/shopify_pay/storefront-c31d2fa4962d2ef90b673e945ee33f4f87302b97d0882cd8e83a629b84b30dab.js?v=20220906	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shopifycloud/shopify/assets/shopify_pay/storefront-c31d2fa4962d2ef90b673e945ee33f4f87302b97d0882cd8e83a629b84b30dabb805.js	(from https://nailzbydev.com/)
21:04:40	37632/37632	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20Mar%202023%2017:37:14%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://nailzbydev.com/)
21:04:41	125454/125454	---MCZ	404	error ('Not%20Found')	text/html	etag:%22cacheable:58413fe141c6d43cfa997625c4613a43%22	https://nailzbydev.com/POST	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/POST	(from https://nailzbydev.com/)
21:04:41	27362/27362	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	etag:%22cacheable:58413fe141c6d43cfa997625c4613a43%22	https://nailzbydev.com/cdn	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn	(from https://nailzbydev.com/)
21:04:41	114968/114968	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2028%20Jun%202023%2015:15:10%20GMT	https://cdn.shopify.com/s/trekkie.storefront.6deef03150cfc3807450afdae3e05f036f41d450.min.js	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/cdn.shopify.com/s/trekkie.storefront.6deef03150cfc3807450afdae3e05f036f41d450.min.js	(from https://nailzbydev.com/)
21:04:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jul%202023%2003:04:41%20GMT	http://nailzbydev.com/cdn/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.23.delayed	(from https://nailzbydev.com/)
21:04:43	8318/8318	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2012%20Apr%202023%2016:30:59%20GMT	https://nailzbydev.com/cdn/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	(from https://nailzbydev.com/)
21:04:44	59535/59535	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2010%20Apr%202023%2017:31:01%20GMT	https://nailzbydev.com/cdn/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://nailzbydev.com/)
21:04:44	128883/128883	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:89081b8c8854368eb48491befc09224c%22	https://nailzbydev.com/cart	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cart.html	(from https://nailzbydev.com/)
21:04:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jul%202023%2003:04:44%20GMT	http://nailzbydev.com/cdn/shop/files/IMG_0890_23aa0b72-b6e3-4608-82b2-f7afa34bf599_300x300.png?v=1667916199	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/files/IMG_0890_23aa0b72-b6e3-4608-82b2-f7afa34bf599_300x300.27a831.delayed	(from https://nailzbydev.com/)
21:04:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jul%202023%2003:04:45%20GMT	http://nailzbydev.com/cdn/shop/files/IMG_0890_23aa0b72-b6e3-4608-82b2-f7afa34bf599_120x.png?v=1667916199	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/files/IMG_0890_23aa0b72-b6e3-4608-82b2-f7afa34bf599_120x.29a831.delayed	(from https://nailzbydev.com/)
21:04:46	101304/101304	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2018:20:35%20GMT	https://nailzbydev.com/cdn/shop/files/IMG_0890_23aa0b72-b6e3-4608-82b2-f7afa34bf599_300x300.png?v=1667916199	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/files/IMG_0890_23aa0b72-b6e3-4608-82b2-f7afa34bf599_300x300a831.png	(from https://nailzbydev.com/)
21:04:46	25073/25073	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Jul%202023%2023:40:51%20GMT	https://nailzbydev.com/cdn/shop/files/IMG_0890_23aa0b72-b6e3-4608-82b2-f7afa34bf599_120x.png?v=1667916199	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/files/IMG_0890_23aa0b72-b6e3-4608-82b2-f7afa34bf599_120xa831.png	(from https://nailzbydev.com/)
21:04:48	231271/231271	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:f1d6e2ebcd2797ee383cf9568f796ed1%22	https://nailzbydev.com/collections/shop-new-products	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/collections/shop-new-products.html	(from https://nailzbydev.com/)
21:04:48	226650/226650	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:987962a1717276d150e8985a17bb0340%22	https://nailzbydev.com/collections/brushes	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/collections/brushes.html	(from https://nailzbydev.com/)
21:04:49	236960/236960	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:62ae2738a24c455afa7b481cb96e458b%22	https://nailzbydev.com/collections/tools	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/collections/tools.html	(from https://nailzbydev.com/)
21:04:50	244386/244386	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:fff9afb344312ffe52a0c09af4aff645%22	https://nailzbydev.com/collections/gel-polish-1	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/collections/gel-polish-1.html	(from https://nailzbydev.com/)
21:04:50	228407/228407	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:0410a4b2b1cc661293d0a2d064bff571%22	https://nailzbydev.com/collections/liner-gels	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/collections/liner-gels.html	(from https://nailzbydev.com/)
21:04:51	202937/202937	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:a30865d72d855789b27d4dd2c9e03baf%22	https://nailzbydev.com/collections/gel-collections	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/collections/gel-collections.html	(from https://nailzbydev.com/)
21:04:51	179448/179448	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:72c29ef45774946b759e7c61f054de93%22	https://nailzbydev.com/collections/3d-gel	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/collections/3d-gel.html	(from https://nailzbydev.com/)
21:04:52	137210/137210	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:c59f6ed8256dc132a294ad4c0f9db000%22	https://nailzbydev.com/collections/bling-gel	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/collections/bling-gel.html	(from https://nailzbydev.com/)
21:04:53	164546/164546	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:5e4fc78493e21be8a519de2d62affdf9%22	https://nailzbydev.com/collections/bundles-kits	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/collections/bundles-kits.html	(from https://nailzbydev.com/)
21:04:53	234433/234433	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:b11aee0c5ca14af01c098a2eb77a6d7d%22	https://nailzbydev.com/collections/all-nail-art	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/collections/all-nail-art.html	(from https://nailzbydev.com/)
21:04:54	177637/177637	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:7c041f7654ab1f6cf6581718d530e8d6%22	https://nailzbydev.com/collections/stickers-decals	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/collections/stickers-decals.html	(from https://nailzbydev.com/)
21:04:55	227893/227893	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:0beb4f9188454080557511d3fcca82a9%22	https://nailzbydev.com/collections/glitter-pigment	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/collections/glitter-pigment.html	(from https://nailzbydev.com/)
21:04:55	228683/228683	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:b0b245be425ed3edef0acf70a066a8fb%22	https://nailzbydev.com/collections/charms-foils	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/collections/charms-foils.html	(from https://nailzbydev.com/)
21:04:56	202821/202821	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:a5924adad9a83e58c4212dd14e4a2b1b%22	https://nailzbydev.com/collections/nail-tips	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/collections/nail-tips.html	(from https://nailzbydev.com/)
21:04:56	130574/130574	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:61fef86f3aabea8c933b826cdd08504f%22	https://nailzbydev.com/collections/press-on-nailz	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/collections/press-on-nailz.html	(from https://nailzbydev.com/)
21:04:57	125454/125454	---MCZ	404	error ('Not%20Found')	text/html	etag:%22cacheable:58413fe141c6d43cfa997625c4613a43%22	https://nailzbydev.com/pages/contact-us	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/pages/contact-us	(from https://nailzbydev.com/)
21:04:58	127333/127333	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:76951973736d6ed5bbcb56a3b350fa2a%22	https://nailzbydev.com/pages/how-to-size	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/pages/how-to-size.html	(from https://nailzbydev.com/)
21:04:58	127059/127059	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:74d082a8d7725022e000e0322bd9cdd4%22	https://nailzbydev.com/pages/how-to-apply	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/pages/how-to-apply.html	(from https://nailzbydev.com/)
21:04:59	133921/133921	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:ee3e298e75e62c45a44db58fe74d5a68%22	https://nailzbydev.com/collections/gift-card	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/collections/gift-card.html	(from https://nailzbydev.com/)
21:05:00	165352/165352	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:ef4182f0b63a9198e2e8c07c3bab258c%22	https://nailzbydev.com/collections/merch-more	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/collections/merch-more.html	(from https://nailzbydev.com/)
21:05:00	153938/153938	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:398f9e4d3b656160d749cbabad4204e3%22	https://nailzbydev.com/collections/rings	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/collections/rings.html	(from https://nailzbydev.com/)
21:05:01	126872/126872	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:d8178cc63b7d75c0ba96936ce7552a25%22	https://nailzbydev.com/pages/policy	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/pages/policy.html	(from https://nailzbydev.com/)
21:05:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jul%202023%2003:05:01%20GMT	http://nailzbydev.com/cdn/shop/files/06BB4C6B-47AE-4780-88BE-52F090D3D149_2048x.jpg?v=1613744779	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/files/06BB4C6B-47AE-4780-88BE-52F090D3D149_2048x.4273d9.delayed	(from https://nailzbydev.com/)
21:05:02	128123/128123	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:23e7cf411cc80521990bf0edf3336278%22	https://nailzbydev.com/account/login	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/account/login.html	(from https://nailzbydev.com/)
21:05:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jul%202023%2003:05:03%20GMT	http://nailzbydev.com/cdn/shop/files/Facetune_01-04-2023-12-27-45_2048x.heic?v=1680366504	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/files/Facetune_01-04-2023-12-27-45_2048x80d5.heic	(from https://nailzbydev.com/)
21:05:03	192542/192542	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Jul%202023%2003:05:02%20GMT	https://nailzbydev.com/cdn/shop/files/06BB4C6B-47AE-4780-88BE-52F090D3D149_2048x.jpg?v=1613744779	C:/Users/jesus/OneDrive/Desktop/nailz/www.nailzbydev.com/nailzbydev.com/cdn/shop/files/06BB4C6B-47AE-4780-88BE-52F090D3D149_2048x73d9.jpg	(from https://nailzbydev.com/)
